,Country,Date_confirmation,case
0,Argentina,2022-05-27,2
1,Australia,2022-06-04,6
2,Austria,2022-05-23,1
3,Belgium,2022-06-08,24
4,Canada,2022-06-08,102
5,Czech Republic,2022-06-02,6
6,Denmark,2022-05-24,2
7,England,2022-06-07,305
8,Finland,2022-06-02,2
9,France,2022-06-07,66
10,Germany,2022-06-08,113
11,Ghana,2022-06-08,5
12,Hungary,2022-05-31,1
13,Ireland,2022-06-07,7
14,Israel,2022-06-07,3
15,Italy,2022-06-06,26
16,Latvia,2022-06-03,1
17,Malta,2022-05-28,1
18,Mexico,2022-05-28,1
19,Morocco,2022-06-02,1
20,Netherlands,2022-06-07,54
21,Northern Ireland,2022-05-30,2
22,Norway,2022-06-01,2
23,Portugal,2022-06-08,191
24,Scotland,2022-06-07,11
25,Slovenia,2022-06-06,6
26,Spain,2022-06-07,225
27,Sweden,2022-06-02,5
28,Switzerland,2022-06-08,12
29,United Arab Emirates,2022-06-07,13
30,United Kingdom,2022-06-01,1
31,United States,2022-06-08,40
32,Wales,2022-06-06,3
